S no.,Title,Price,Product Link
32,"Motorola g64 5G (Ice Lilac, 128 GB)","₹14,999",https://www.flipkart.com/motorola-g64-5g-ice-lilac-128-gb/p/itm36e3ccb6c9dee?pid=MOBGY2JUZHAXQ8ZG&lid=LSTMOBGY2JUZHAXQ8ZGKQ5SOK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGY2JUZHAXQ8ZG.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
33,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹14,348",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNXWVSWG&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGZJ42KHUZZKMN.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
34,"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹22,999",https://www.flipkart.com/motorola-edge-50-fusion-marshmallow-blue-128-gb/p/itmf88eea5799a27?pid=MOBGXTYZEZSZQE7W&lid=LSTMOBGXTYZEZSZQE7WIBXLBI&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGXTYZEZSZQE7W.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
35,"Motorola G85 5G (Urban Grey, 128 GB)","₹17,999",https://www.flipkart.com/motorola-g85-5g-urban-grey-128-gb/p/itmd537bad93eed7?pid=MOBHY9PQHVCM54FH&lid=LSTMOBHY9PQHVCM54FHI6UBP0&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBHY9PQHVCM54FH.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
36,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)","₹30,999",https://www.flipkart.com/samsung-galaxy-s23-fe-graphite-128-gb/p/itme751066521899?pid=MOBGVTA2836DQWTT&lid=LSTMOBGVTA2836DQWTTISGIME&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGVTA2836DQWTT.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
37,"Motorola g64 5G (Pearl Blue, 128 GB)","₹14,999",https://www.flipkart.com/motorola-g64-5g-pearl-blue-128-gb/p/itm68710cef5104b?pid=MOBGY2JU53P3KMG9&lid=LSTMOBGY2JU53P3KMG9IXP4DQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGY2JU53P3KMG9.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
38,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","₹10,999",https://www.flipkart.com/samsung-galaxy-a14-5g-dark-red-128-gb/p/itma8393faabfb76?pid=MOBGHT8UUUNXNYZ4&lid=LSTMOBGHT8UUUNXNYZ4QUY1LJ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGHT8UUUNXNYZ4.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
39,"REDMI 13c 5G (Startrail Green, 128 GB)","₹9,815",https://www.flipkart.com/redmi-13c-5g-startrail-green-128-gb/p/itm996fbc603ec3c?pid=MOBGW6S7BFMR5HEX&lid=LSTMOBGW6S7BFMR5HEX71WGSM&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGW6S7BFMR5HEX.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
40,"vivo T3x 5G (Crimson Bliss, 128 GB)","₹15,999",https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZZCDVNWUZSPJ&lid=LSTMOBGZZCDVNWUZSPJJQS1G5&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGZZCDVNWUZSPJ.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
41,"Motorola g45 5G (Brilliant Blue, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g45-5g-brilliant-blue-128-gb/p/itm62ccd431c9e5e?pid=MOBH3YKQQDZZ2WZH&lid=LSTMOBH3YKQQDZZ2WZHGOH35A&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBH3YKQQDZZ2WZH.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
42,"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","₹24,999",https://www.flipkart.com/motorola-edge-50-fusion-forest-blue-256-gb/p/itme13bbe694468e?pid=MOBGXTYZZEW8GZE6&lid=LSTMOBGXTYZZEW8GZE6HFCXI9&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_42&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGXTYZZEW8GZE6.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
43,"SAMSUNG Galaxy S23 5G (Cream, 256 GB)","₹42,999",https://www.flipkart.com/samsung-galaxy-s23-5g-cream-256-gb/p/itm745d4b532623e?pid=MOBGMFFXURCVYANE&lid=LSTMOBGMFFXURCVYANE4SRNTK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_43&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGMFFXURCVYANE.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
44,"vivo T3x 5G (Celestial Green, 128 GB)","₹15,999",https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZZCDPBFWUMWG&lid=LSTMOBGZZCDPBFWUMWGD5XOMN&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_44&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGZZCDPBFWUMWG.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
45,"REDMI A3 (Olive Green, 128 GB)","₹7,399",https://www.flipkart.com/redmi-a3-olive-green-128-gb/p/itm93d385ff1c5b0?pid=MOBGZF9P4DYENNGM&lid=LSTMOBGZF9P4DYENNGMQUIIKC&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_45&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGZF9P4DYENNGM.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
46,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,843",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRSAT1VXI&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_46&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
47,"realme P1 5G (Feather Blue, 128 GB)","₹14,999",https://www.flipkart.com/realme-p1-5g-feather-blue-128-gb/p/itmae4447062b5b5?pid=MOBH4GSKATGPQSAU&lid=LSTMOBH4GSKATGPQSAUXI0KNN&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_47&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBH4GSKATGPQSAU.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
48,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹14,349",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZYSAZPZ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_2_48&otracker=search&otracker1=search&fm=Search&iid=5d092db0-6b10-448e-ab0f-cc214530c798.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=sp&ppn=sp&ssid=1ybgk2t0hc0000001734891178450&qH=1036ba3c4ed2c021
